V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	accession
0.109792	0.338209	1e-05	1e-05	0.192325	1e-05	0.001972	0.051256	0.306086	0.000328	CAMPUB_223
0.164669	0.198474	1e-05	0.028821	0.071859	1.1e-05	1.1e-05	0.051219	0.484916	1e-05	CAMPUB_225
0.270194	0.033042	0.002759	1e-05	0.06494	1e-05	1e-05	0.026321	0.602704	1e-05	CAMPUB_218
0.218968	0.218333	0.037393	1e-05	0.03379	1e-05	1e-05	0.019078	0.472397	1e-05	CAMPUB_025
1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999903	1e-05	CAMPUB_111
0.133827	1e-05	1e-05	1e-05	0.118305	1.8e-05	1e-05	1e-05	0.747791	1e-05	CAMPUB_007
1e-05	0.077898	1e-05	1e-05	0.054801	1e-05	1e-05	1e-05	0.853522	0.013719	CAMPUB_252
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	CAMPUB_197
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99991	1e-05	CAMPUB_244
0.577972	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.421948	1e-05	CAMPUB_278
0.507482	1e-05	1e-05	1e-05	1e-05	1e-05	0.135501	1e-05	0.356947	1e-05	UNT_057
0.653762	0.281716	1e-05	1e-05	1e-05	1e-05	0.04947	1e-05	1e-05	0.014992	CAMPUB_216
0.655134	1e-05	1e-05	0.344786	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_257
0.921397	0.078523	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_035
0.643205	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.356715	1e-05	CAMPUB_204
0.999904	1.6e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_055
0.999897	1.4e-05	1e-05	1.5e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1e-05	CAMPUB_173
0.467082	0.149516	0.023451	1e-05	0.00418	1e-05	1e-05	0.032688	0.251059	0.071994	CAMPUB_124
0.453132	0.064559	0.135308	0.027574	0.195425	0.003688	1e-05	0.057649	0.062645	1e-05	CAMPUB_207
0.706558	0.037838	0.129438	1.4e-05	0.126102	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_160
0.725576	0.062532	0.076475	1e-05	0.135357	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_171
0.730392	0.054008	0.115316	1e-05	0.100223	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_262
0.69444	1e-05	0.071453	0.086868	0.050875	1e-05	0.045277	1e-05	1e-05	0.051047	CAMPUB_041
0.700615	1e-05	0.082743	1e-05	0.158338	0.041112	1e-05	1e-05	0.017142	1e-05	CAMPUB_120
