V1	V2	V3	V4	V5	V6	V7	V8	accession
0.051578	0.176722	1e-05	0.028301	1e-05	1e-05	1e-05	0.743359	CAMPUB_206
0.149427	1.1e-05	1e-05	0.027605	1.4e-05	1e-05	1e-05	0.822913	CAMPUB_058
1.4e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	0.999925	CAMPUB_159
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	UNT_053_reseq
0.959906	1e-05	1e-05	0.040034	1e-05	1e-05	1e-05	1e-05	CAMPUB_066
0.843411	1e-05	1e-05	0.035241	1e-05	0.081691	1e-05	0.039617	UNT_021_new
0.828388	1e-05	1e-05	0.080272	1e-05	0.09129	1e-05	1e-05	UNT_031_reseq
0.880219	1e-05	1e-05	0.119721	1e-05	1e-05	1e-05	1e-05	CAMPUB_187
0.56521	1e-05	1e-05	0.417624	1e-05	0.017117	1e-05	1e-05	UNT_058_reseq
0.987172	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.012768	CAMPUB_260
0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_273
0.942031	1e-05	1e-05	0.057909	1e-05	1e-05	1e-05	1e-05	CAMPUB_270
0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_135
0.978339	1e-05	1e-05	0.021601	1e-05	1e-05	1e-05	1e-05	CAMPUB_168
0.661961	0.048621	0.02643	0.052239	0.12384	1e-05	0.010163	0.076737	CAMPUB_072
0.719349	1e-05	1e-05	1e-05	0.280591	1e-05	1e-05	1e-05	CAMPUB_150
0.517761	1e-05	1.1e-05	1e-05	1e-05	1e-05	0.482177	1e-05	CAMPUB_167
0.212119	1e-05	1e-05	1.2e-05	1e-05	0.017749	0.228464	0.541626	UNT_055_reseq
0.479657	1e-05	1e-05	1e-05	1e-05	1e-05	0.520283	1e-05	CAMPUB_248
0.768822	1e-05	1e-05	1e-05	0.002681	0.039841	0.071679	0.116946	CAMPUB_272
0.99993	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	CAMPUB_264
0.691796	1e-05	1.2e-05	1e-05	1e-05	1e-05	0.308142	1e-05	CAMPUB_070
0.701887	1e-05	1e-05	1e-05	1e-05	1e-05	0.298053	1e-05	CAMPUB_081
0.936469	1.7e-05	1.6e-05	1e-05	1e-05	1e-05	0.063458	1e-05	CAMPUB_269
0.999916	1e-05	1.8e-05	1e-05	1.6e-05	1e-05	1e-05	1e-05	CAMPUB_061
0.999909	1.5e-05	1.8e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	CAMPUB_137
0.723978	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.275962	CAMPUB_148
0.770415	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.229525	CAMPUB_153
0.529428	1e-05	1e-05	1e-05	1.3e-05	1e-05	1e-05	0.47051	CAMPUB_155
0.454553	1e-05	1e-05	1e-05	0.125125	1e-05	1e-05	0.420271	CAMPUB_080
0.669483	1e-05	1e-05	1e-05	0.330457	1e-05	1e-05	1e-05	CAMPUB_251
0.425984	0.331934	1e-05	1e-05	1e-05	1e-05	0.242031	1e-05	CAMPUB_175
0.354188	0.433006	1e-05	0.031592	0.016735	0.079441	0.085018	1e-05	UNT_038_new
0.346818	0.025992	1e-05	0.04669	1e-05	0.111228	0.469242	1e-05	UNT_032_reseq
0.825139	1e-05	1e-05	0.096854	1e-05	0.076931	1e-05	0.001036	UNT_033_reseq
